Title,drwg_link,icon
BF1 Tilting VFD,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/tilting_vvfd_panel_dwg.pdf,https://cdn4.iconfinder.com/data/icons/industry-37/64/technology-machine-factory-industry-industrial-logistics-conveyor-shipping_and_delivery-256.png
BF1 Rotating VFD,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/rotating-vvfd-panel-dwg.pdf,https://cdn3.iconfinder.com/data/icons/ui-arrows-2/145/51-512.png
BF1 PCI HVLC DRAWING,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/pci-hvlc-outgoing-feeder.pdf,https://cdn4.iconfinder.com/data/icons/engineering-56/64/34_Electric_Engineering_electricity_high_voltage_pole_factory_industry_manufacturing_tower_pillar_power_generation34_Electric_Engineering_electricity_high_voltage_pol-512.png
BF1 NGEF LC DRAWING,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/ngef-lc-drawings.pdf,https://cdn4.iconfinder.com/data/icons/signal-and-prohibitions-1/64/signal_and_prohibition-08-512.png
BF1 RING CRANE2 LT VFD,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/ringcrane2-lt-vfd.pdf,https://cdn3.iconfinder.com/data/icons/crane-2/500/yul454_17_ring_crane_excavator_business_car_silhouette_construction-512.png
BF1 PUSHER CAR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/pushercar-drawing.pdf,https://cdn2.iconfinder.com/data/icons/hobbies-soft-fill/60/model-trains-pastime-activities-hobbies-256.png
BF1 PUSHER CAR 225 226 MODIFIED,https://bfapps75845438.wordpress.com/wp-content/uploads/2024/02/bf1-pusher-car-225-226-modified.pdf,https://cdn3.iconfinder.com/data/icons/transport-204/64/Locomotive-railway-train-transport-vehicle-128.png
BF1 AB VFD POWER FLEX 750 MANUAL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/750-pm001_-en-p_optimize.pdf,https://cdn4.iconfinder.com/data/icons/materia-color-hardware/24/002_051_sound_wave_sine_synth_music-512.png
BF1 PLC CONFIG PW FMS PLC UPDATE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf1-plc-configuration.pdf,https://cdn1.iconfinder.com/data/icons/data-science-flat-1/64/algorithm-plan-process-flow-chart-logic-512.png
BF1 STOVE HMI NETWORK MODFICATION,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/stoves-network-modification-diagram_1.pdf,https://cdn3.iconfinder.com/data/icons/servers-and-networks-soft-fill/60/Network-Firewall-flames-bricks-512.png
BF1 COMMON BRAKE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/common-brake-resistance.pdf,https://cdn4.iconfinder.com/data/icons/nuuline-fill-car-parts-service-repair/150/service_repair_automotive-18-512.png
BF1 DG SET,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/dg-set-bf1-and-2.pdf,https://cdn1.iconfinder.com/data/icons/sustainable-energy-flaticon/64/generator-ecology_and_environment-industry-energy-technology-512.png
BF1 15 BK LIMIT VALVE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/stove-15-valve1.pdf,https://img.jeawincdn.com/resource/upfiles/111/images/products/valves/butterfly-valves/counter-weight-hydraulic-control-check-butterfly-valve.png
BF1 PAUL WURTH TELPHER 10 T,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/paulwurth-telpher-10t1.pdf,https://cdn0.iconfinder.com/data/icons/labor-day-32/64/Crane-256.png
BF1 14PCY MCC ,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/14pcy-mcc1.pdf,https://cdn2.iconfinder.com/data/icons/caution-warning-yellow-signs/600/ISO_7010_W012-512.png
BF1 RING CRANE 1 MAIN HOIST MH,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/ringcrane1-mh1.pdf,https://cdn1.iconfinder.com/data/icons/building-colored/512/crane_1-512.png
BF1 RING CRANE 2 PP ,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/ringcrane-2-protective-panel-bf11.pdf,https://cdn2.iconfinder.com/data/icons/nuuline-fill-construction-industry/150/construction_tool_machinery_industry-12-256.png
BF1 PCI HGG,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/hgg2-wiring-diagram1.pdf,https://cdn0.iconfinder.com/data/icons/industry-oil-gas-power-colours/91/Industry_Oil_Gas_Power_03-512.png
BF1 PCI MCC DRAWING LT,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/pci-lt-mcc-outgoing-feeder1.pdf,https://cdn0.iconfinder.com/data/icons/construction-306/64/ELECTRIC_CONTROL-cabinet-box-control-electrical-256.png
BF1 PCI N2 COMPRESSOR HVLC,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/pci-n2-compressor-hvlc-drawing1.pdf,https://cdn0.iconfinder.com/data/icons/construction-tools-20/64/air_compressor-home_repair-air-Compressor_-256.png
BF1 PCI COMPRESSOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf1-compressor-1-2.pdf,https://cdn0.iconfinder.com/data/icons/construction-tool-19/64/air-compressor-pressure-pump-engine-256.png
