EQPTNAME,KW,STATR_VOL,STATR_CUR,ROTOR_VOL,ROTOR_CUR,SPEED,MAKE,MNTNG,DE,NDE,FRAME,AREA,LOCATION,COUPLING,REMARKS
LT OUT MAIN SPEED,11.00,415,29.00,172,42.00,940,USSR,FOOT,60311,60311,MTH311-6T1,BF1,TOP,NO DATA,NO DATA
LT INSIDE FAST MOTOR,3.00,415,9.80,176,13.20,890,USSR,FOOT,60216,60216,MTH111-6T1,BF1,TOP,NO DATA,NO DATA
AUXILLARY HOIST,22.00,415,60.00,248,57.00,715,USSR,FOOT,60314,60314,MTH412-8T1,BF1,TOP,NO DATA,NO DATA
MAIN HOIST MOTOR,60.00,415,135.00,235,162.00,565,USSR,FOOT,NO DATA,NO DATA,MTH612-10T1,BF1,TOP,NO DATA,NO DATA
CROSS TRAVEL MOTOR,11.00,415,29.00,172,42.00,940,USSR,FOOT,60311,60311,MTH311-6T1,BF1,TOP,NO DATA,NO DATA
LT OUT MAIN SPEED,11.00,415,29.00,172,42.00,940,USSR,FOOT,60311,60311,MTH311-6T1,BF1,TOP,NO DATA,NO DATA
LT OUT SLOW SPEED,1.40,415,8.90,0,0.00,330,USSR,FOOT,2311,311,AP63-16T2,BF1,RHS,NO DATA,NO DATA
LT INSIDE FAST MOTOR,3.00,415,9.80,0,0.00,890,USSR,FOOT,60216,60216,MTH111-6T1,BF1,TOP,NO DATA,NO DATA
LT INSIDE SLOW MOTOR,1.40,415,8.90,0,0.00,330,USSR,FOOT,2311,311,AP63-16T2,BF1,RHS,NO DATA,NO DATA
AUXILARY HOIST,22.00,415,60.00,248,57.00,715,USSR,FOOT,60314,60314,MTH412-8T1,BF1,TOP,NO DATA,NO DATA
MAIN HOIST MOTOR,60.00,415,135.00,235,162.00,565,USSR,FOOT,NO DATA,NO DATA,MTH612-10T1,BF1,TOP,NO DATA,NO DATA
CROSS TRAVEL MOTOR,11.00,415,29.00,172,42.00,940,USSR,FOOT,60311,60311,MTH311-6T1,BF1,TOP,NO DATA,NO DATA
COLUMN HOIST MOTOR,15.00,415,37.50,0,0.00,695,USSR,FOOT,60314,60314,MTKH411-8T1,BF1,TOP,NO DATA,NO DATA
LUFFING MOTOR,0.40,415,3.20,0,0.00,440,USSR,FOOT,2307,307,AP43-12T2,BF1,RHS,NO DATA,NO DATA
SLEWING MOTOR,0.40,415,3.20,0,0.00,440,USSR,FOOT,2307,307,AP43-12T2,BF1,RHS,NO DATA,NO DATA
CANTILEVER HOOK,11,415,30,0,0,700,USSR,FOOT,60311,60311,MTKH312-8T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-1,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-2,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
WINCH MOTOR,7.5,415,22,245,21,680,USSR,FOOT,60311,60311,MTH311-8T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-1,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-2,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
WINCH MOTOR,7.5,415,22,245,21,680,USSR,FOOT,60311,60311,MTH3101-8T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-1,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-2,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
WINCH MOTOR,7.5,415,22,245,21,680,USSR,FOOT,60311,60311,MTH311-8T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-1,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
PUSHER MOTOR-2,22,415,48.5,0,0,935,USSR,FOOT,60314,60314,MTKH411-6T1,BF1,TOP,NO DATA,NO DATA
WINCH MOTOR,7.5,415,22,245,21,680,USSR,FOOT,60311,60311,MTH311-8T1,BF1,TOP,NO DATA,NO DATA
HYDRAULIC MAIN PUMP MOTOR-1,132,415,221,NO DATA,NO DATA,1485,ABB-INDIA,FOOT,6319C3,6316C3,M2BAP315MLA4K,BF1,TOP,NO DATA,NO DATA
HYDRAULIC MAIN PUMP MOTOR-2,132,415,221,NO DATA,NO DATA,1485,ABB-INDIA,FOOT,6319C3,6316C3,M2BAP315MLA4K,BF1,TOP,NO DATA,NO DATA
HYDRAULIC MAIN PUMP MOTOR-3,132,415,221,NO DATA,NO DATA,1485,ABB-INDIA,FOOT,6319C3,6316C3,M2BAP315MLA4K,BF1,TOP,NO DATA,NO DATA
HYDRAULIC MAIN PUMP MOTOR-1,132,415,221,NO DATA,NO DATA,1485,ABB-INDIA,FOOT,6319C3,6316C3,M2BAP315MLA4K,BF1,TOP,NO DATA,NO DATA
HYDRAULIC MAIN PUMP MOTOR-2,132,415,221,NO DATA,NO DATA,1485,ABB-INDIA,FOOT,6319C3,6316C3,M2BAP315MLA4K,BF1,TOP,NO DATA,NO DATA
HYDRAULIC MAIN PUMP MOTOR-3,132,415,221,NO DATA,NO DATA,1485,ABB-INDIA,FOOT,6319C3,6316C3,M2BAP315MLA4K,BF1,TOP,NO DATA,NO DATA
PILOT PUMP-1,5.5,415,10.5,NO DATA,NO DATA,1460,ABB-INDIA,FOOT,6208-2Z/C3,6208-2Z/C3,M3BAP132MB4,BF1,TOP,NO DATA,NO DATA
PILOT PUMP-2,5.5,415,10.5,NO DATA,NO DATA,1460,ABB-INDIA,FOOT,6208-2Z/C3,6208-2Z/C3,M3BAP132MB4,BF1,TOP,NO DATA,NO DATA
